stage,total_accesses,l1_hits,l1_misses,vc_hits,vc_misses,l2_hits,l2_misses,llc_hits,llc_misses,dram_accesses,dram_prefetch_accesses,prefetch_issued,prefetch_redundant,prefetch_useful,prefetch_timely,prefetch_late,prefetch_wasted_evicted,useful_data_evictions,clock,amat,l1_miss_pct,l2_miss_pct,llc_miss_pct,prefetch_accuracy_pct,prefetch_timeliness_pct
1_ingestion_cold_0-20pct,64000,31998,32002,0,0,0,32002,0,32002,32002,0,0,0,0,0,0,0,31236,9152552,143.008625,50.003125,100.0,100.0,0.0,0.0
1_ingestion_steady_20-100pct,256000,128000,128000,0,0,0,128000,0,128000,128000,0,0,0,0,0,0,0,255232,36608000,143.0,50.0,100.0,100.0,0.0,0.0
2_extraction_cold_0-20pct,36000,24000,12000,0,0,0,12000,12000,0,0,0,0,0,0,0,0,0,24000,1092000,30.333333333333332,33.333333333333336,100.0,0.0,0.0,0.0
2_extraction_steady_20-100pct,144000,96000,48000,0,0,0,48000,48000,0,0,0,0,0,0,0,0,0,96000,4368000,30.333333333333332,33.333333333333336,100.0,0.0,0.0,0.0
3_aggregation_cold_0-20pct,20000,3481,16519,0,0,455,16064,16000,64,64,0,0,0,0,0,0,0,32583,1340944,67.0472,82.595,97.24559598038623,0.398406374501992,0.0,0.0
3_aggregation_steady_20-100pct,80000,14106,65894,0,0,1894,64000,64000,0,0,0,0,0,0,0,0,0,129894,5294304,66.1788,82.3675,97.1256867089568,0.0,0.0,0.0
4_lookup_cold_0-20pct,12000,70,11930,0,0,471,11459,0,11459,11459,0,0,0,0,0,0,0,23389,3230220,269.185,99.41666666666667,96.05196982397318,100.0,0.0,0.0
4_lookup_steady_20-100pct,48000,288,47712,0,0,10652,37060,1499,35561,35561,0,0,0,0,0,0,0,84846,10339192,215.39983333333333,99.4,77.67437961099932,95.95520777118186,0.0,0.0
5_result_gen_cold_0-20pct,8000,0,8000,0,0,0,8000,0,8000,8000,0,0,0,0,0,0,0,16626,2248000,281.0,100.0,100.0,100.0,0.0,0.0
5_result_gen_steady_20-100pct,32000,0,32000,0,0,0,32000,0,32000,32000,0,0,0,0,0,0,0,72110,8992000,281.0,100.0,100.0,100.0,0.0,0.0
