mshr,variant,total_cycles,n_accesses,n_hits,n_misses,avg_miss_service_cycles,cycles_per_access
1,dependent_chain,2584000,24000,0,24000,107.66666666666667,107.66666666666667
1,independent_streams,2584000,24000,0,24000,107.66666666666667,107.66666666666667
2,dependent_chain,2584000,24000,0,24000,107.66666666666667,107.66666666666667
2,independent_streams,1292001,24000,0,24000,107.66666666666667,53.833375
4,dependent_chain,2584000,24000,0,24000,107.66666666666667,107.66666666666667
4,independent_streams,646003,24000,0,24000,107.66666666666667,26.916791666666665
8,dependent_chain,2584000,24000,0,24000,107.66666666666667,107.66666666666667
8,independent_streams,323007,24000,0,24000,107.66666666666667,13.458625
16,dependent_chain,2584000,24000,0,24000,107.66666666666667,107.66666666666667
16,independent_streams,323007,24000,0,24000,107.66666666666667,13.458625
32,dependent_chain,2584000,24000,0,24000,107.66666666666667,107.66666666666667
32,independent_streams,323007,24000,0,24000,107.66666666666667,13.458625
64,dependent_chain,2584000,24000,0,24000,107.66666666666667,107.66666666666667
64,independent_streams,323007,24000,0,24000,107.66666666666667,13.458625
